case#,state,q0a,q0b,q1,q2,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35m1,q36,q37,q38,vote16,educ,ideo,liberal,conserv,moderate,party,democrat,republican,dem_rep_lean,cell1,cell2,cell3,hispanic,raceq,brnagain,carea,income,getstate,gender,age,agex,partyid,phil3,whtevang,region,Tvote2016,Phil7,Phil5,PID7,PID5,weight,samtype
505,CA,Yes (All),1985,Strongly disapprove,Disapprove,Very,Very,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,(Dont know),Somewhat disapprove,Strongly approve,(Neither),(Dont know),Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Somewhat,Very,Very,Favor,Favor,Too much,A great deal,More,Preparation for the future / Better prepared for future outbreaks,No,Very,Yes,Democrat Hillary Clinton,(2-year degree_community college degree),Liberal,Somewhat liberal, , ,Neither, , ,Lean Democratic,"No, no home telephone", , ,Yes,(Refused),No,Suburban,"$50,000 to under $75,000",CA,Male,30-45,35,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,West,Clinton 10%+,Somewhat Liberal,Somewhat Liberal,Lean Democrat,Lean Democarat,1.02894653,Cell
507,GA,Yes (All),1986,Strongly disapprove,(Dont know),Very,Not very,(Dont know),(Dont know),(Dont know),(Dont know),(Dont know),(Dont know),Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe",(Dont know),"No, does not describe",Very,Somewhat,Not very,Somewhat,Very,Favor,Favor,Too little,Not at all,No difference,No silver lining,No,Not at all,Yes,Democrat Hillary Clinton,(4-year degree_traditional college degree),Moderate, , ,Dont lean either way,Democrat,Strong, , ,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,"African-American, black",Yes,Suburban,"$30,000 to under $50,000",GA,Male,30-45,34,Democrat,"MODERATE,",no,South,Clinton 10%+,Moderate,Moderate,Strong Democrat,Strong Democarat,1.079615343,Cell
511,NC,Yes (All),1914,Strongly approve,Disapprove,Very,Very,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly approve,(Dont know),(Dont know),Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Not at all,Not at all,Very,Very,Not at all,Oppose,Favor,Too little,A great deal,Less,Will be stronger in the future / Pandemic will be contained,No,Very,No,Republican Donald Trump,(2-year degree_community college degree),(Dont know), , ,Lean conservative,Republican, ,Strong, ,"Yes, has a home telephone", ,Very few or none received on a cell phone?,No,Asian,No,Suburban,DO NOT READ -- (Refused_Dont know),99,Male,65+,106,"Republican,",CONSRV (very + somewhat conservative),no,South,Trump 10%+,Lean Conservative,Somewhat Conservative,Strong Republican,Strong Republican,1.252630558,Cell
512,CA,Yes (All),1981,Somewhat disapprove,Approve,Very,Somewhat,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Strongly approve,Strongly approve,Strongly approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Somewhat,Very,Very,Very,Favor,Favor,Just about right,A great deal,More,Preparation for the future / Better prepared for future outbreaks,Yes,Very,Yes,Democrat Hillary Clinton,(4-year degree_traditional college degree),Liberal,Somewhat liberal, , ,Democrat,Not so strong, , ,"No, no home telephone", , ,No,White,No,Urban,"$100,000 or more",CA,Female,30-45,39,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,West,Clinton 10%+,Somewhat Liberal,Somewhat Liberal,Somewhat Democrat,Lean Democarat,.980125784,Cell
514,IL,Yes (All),1985,Somewhat approve,Approve,Very,Somewhat,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","Yes, describes",Very,Somewhat,Not very,Not very,Not very,Favor,Favor,Just about right,Somewhat,No difference,No silver lining,No,Very,No,(Wont say _ Refused),(4-year degree_traditional college degree),Moderate, , ,Dont lean either way,Republican, ,(Dont know), ,"No, no home telephone", , ,No,White,No,Suburban,"$100,000 or more",IL,Male,30-45,35,"Republican,","MODERATE,",no,Midwest,Clinton 10%+,Moderate,Moderate,Somewhat Republican,Lean Republican,.906825799,Cell
517,RI,Yes (All),1965,Strongly approve,Disapprove,Very,Very,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Strongly approve,Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes",(Dont know),Very,Very,Very,Very,Very,Favor,Favor,Just about right,A great deal,No difference,No silver lining,No,Very,No,Republican Donald Trump,"(Vocational, technical school)",Conservative, ,Somewhat conservative, ,Republican, ,Strong, ,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,White,Yes,Small town,"$100,000 or more",RI,Male,55-64,55,"Republican,",CONSRV (very + somewhat conservative),yes,Northeast,Close,Somewhat Conservative,Somewhat Conservative,Strong Republican,Strong Republican,.853752362,Cell
523,CA,Yes (All),1937,Strongly approve,Disapprove,Very,Very,Strongly approve,Strongly approve,(Dont know),Somewhat approve,Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Very,Very,Very,Very,(Dont know),Favor,Too little,A great deal,More,No silver lining,No,Very,Yes,Democrat Hillary Clinton,(High school graduate_GED_High school equivalency),Conservative, ,Very conservative, ,Republican, ,Not so strong, ,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,White,No,Urban,"$50,000 to under $75,000",CA,Male,65+,83,"Republican,",CONSRV (very + somewhat conservative),no,West,Clinton 10%+,Very Conservative,Very Conservative,Somewhat Republican,Lean Republican,.778954619,Cell
524,PA,Yes (All),1994,Somewhat approve,Approve,Somewhat,Not very,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","No, does not describe","Yes, describes","Yes, describes",Somewhat,Not at all,Somewhat,Somewhat,Not very,Favor,Favor,Just about right,Somewhat,No difference,Learn valuable lessons / Chance for reflection,No,Not very,No,Or did things come up to keep you from voting?,(4-year degree_traditional college degree),Moderate, , ,Dont lean either way,Neither, , ,Dont lean either way,"No, no home telephone", , ,No,White,No,Small town,"$30,000 to under $50,000",DE,Male,18-29,26,Independent + other,"MODERATE,",no,Northeast,Trump 10%+,Moderate,Moderate,Independent,Independent,1.41416228,Cell
525,MO,Yes (All),1957,Strongly disapprove,Disapprove,Very,Somewhat,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Strongly disapprove,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Somewhat,Very,Favor,Favor,Too little,A great deal,More,Learn valuable lessons / Chance for reflection,(Dont know),Somewhat,No,Democrat Hillary Clinton,(2-year degree_community college degree),Liberal,Somewhat liberal, , ,Neither, , ,Lean Democratic,"No, no home telephone", , ,No,(Other):,No,Rural,"$50,000 to under $75,000",MO,Male,55-64,63,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,Midwest,Trump 10%+,Somewhat Liberal,Somewhat Liberal,Lean Democrat,Lean Democarat,.229615822,Cell
526,MI,Yes (All),1948,Strongly approve,Approve,Very,Somewhat,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Somewhat,(Dont know),Not at all,Very,Favor,Favor,Just about right,A great deal,More,Bringing people together / Sense of community,Yes,Very,Yes,Republican Donald Trump,(High school graduate_GED_High school equivalency),Conservative, ,Somewhat conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,No,White,No,Suburban,"$100,000 or more",MI,Female,65+,72,"Republican,",CONSRV (very + somewhat conservative),no,Midwest,Close,Somewhat Conservative,Somewhat Conservative,Strong Republican,Strong Republican,.819811431,Cell
528,MO,Yes (All),1998,Strongly disapprove,Disapprove,Very,Very,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly approve,Strongly disapprove,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Somewhat,Very,Very,Very,Favor,Favor,Too little,A great deal,No difference,Will hurt Trump s reelection / Trump negative,No,Very,Yes,Democrat Hillary Clinton,"(Some college, no degree)",Moderate, , ,Lean liberal,Neither, , ,Lean Democratic,"No, no home telephone", , ,No,(Refused),Yes,Suburban,DO NOT READ -- (Refused_Dont know),MO,Female,18-29,22,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,Midwest,Trump 10%+,Lean Liberal,Somewhat Liberal,Lean Democrat,Lean Democarat,.247550903,Cell
529,TX,Yes (All),1968,Strongly disapprove,Approve,Very,Very,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly approve,Somewhat approve,Strongly disapprove,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Somewhat,Very,Somewhat,Very,Favor,Favor,Too little,A great deal,More,Religious value / Increase in faith,No,Very,No,Democrat Hillary Clinton,(Graduate degree),Moderate, , ,Lean liberal,Neither, , ,Lean Democratic,"No, no home telephone", , ,No,"African-American, black",Yes,Suburban,"$100,000 or more",TX,Male,46-54,52,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,South,Clinton 10%+,Lean Liberal,Somewhat Liberal,Lean Democrat,Lean Democarat,1.103343153,Cell
546,NY,Yes (All),1993,Somewhat disapprove,(Dont know),Not very,(Dont know),Somewhat approve,Somewhat approve,(Dont know),(Dont know),Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,(Dont know),Nothing could have prevented it from spreading the way it has,"No, does not describe","No, does not describe","Yes, describes","No, does not describe",Not very,Not at all,Not at all,Not at all,Not at all,Favor,Favor,Just about right,Somewhat,No difference,Bringing people together / Sense of community,Yes,Somewhat,Yes,Or did things come up to keep you from voting?,(High school graduate_GED_High school equivalency),Liberal,(Dont know), , ,Neither, , ,Dont lean either way,"No, no home telephone", , ,Yes,"Latino, Hispanic",No,Small town,"$50,000 to under $75,000",NY,Male,18-29,27,Independent + other,"LIBERAL (very liberal + somewhat liberal),",no,Northeast,Clinton 10%+,Somewhat Liberal,Somewhat Liberal,Independent,Independent,1.02894653,Cell
550,OR,Yes (All),1987,Somewhat approve,Approve,Very,Very,Strongly approve,Somewhat approve,(Dont know),Somewhat approve,(Dont know),Strongly disapprove,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","Yes, describes","Yes, describes","No, does not describe",Very,Very,Somewhat,Not very,Somewhat,Favor,Favor,Too little,A great deal,No difference,No silver lining,No,Very,Yes,Republican Donald Trump,(4-year degree_traditional college degree),Moderate, , ,Lean conservative,Republican, ,Not so strong, ,"No, no home telephone", , ,No,White,No,Small town,"$50,000 to under $75,000",OR,Female,30-45,33,"Republican,",CONSRV (very + somewhat conservative),no,West,Trump 10%+,Lean Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,.967172071,Cell
551,NY,Yes (All),1972,Strongly disapprove,Disapprove,Very,Very,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly approve,(Dont know),Strongly approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Somewhat,Very,Somewhat,Somewhat,Very,Favor,Favor,Too much,Somewhat,More,Giving the environment a break / Less pollution,Yes,Somewhat,Yes,Democrat Hillary Clinton,(Graduate degree),Liberal,Somewhat liberal, , ,Democrat,Not so strong, , ,"No, no home telephone", , ,No,White,No,Urban,"$50,000 to under $75,000",NY,Female,46-54,48,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,Northeast,Clinton 10%+,Somewhat Liberal,Somewhat Liberal,Somewhat Democrat,Lean Democarat,1.218912222,Cell
552,FL,Yes (All),1988,Strongly approve,Approve,Very,Very,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Somewhat,Very,Somewhat,Somewhat,Favor,Favor,Just about right,A great deal,No difference,No silver lining,No,Very,Yes,Or did things come up to keep you from voting?,(4-year degree_traditional college degree),Conservative, ,Somewhat conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,Yes,White,Yes,Small town,"$50,000 to under $75,000",FL,Male,30-45,32,"Republican,",CONSRV (very + somewhat conservative),no,South,Trump 10%+,Somewhat Conservative,Somewhat Conservative,Strong Republican,Strong Republican,.904595734,Cell
557,OH,Yes (All),1973,Somewhat disapprove,Disapprove,Very,Very,Somewhat approve,Strongly disapprove,Strongly approve,(Dont know),Strongly approve,Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Very,Very,Very,Very,Favor,Favor,Too little,A great deal,(Mixed),Religious value / Increase in faith,No,Very,Yes,Democrat Hillary Clinton,(2-year degree_community college degree),Liberal,Somewhat liberal, , ,Democrat,Strong, , ,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,"African-American, black",Yes,Urban,"Under $30,000",OH,Male,46-54,47,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,Midwest,Close,Somewhat Liberal,Somewhat Liberal,Strong Democrat,Strong Democarat,1.244472736,Cell
562,NC,Yes (All),1971,Strongly approve,Approve,Very,Very,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Very,Very,Very,Very,Favor,Favor,Just about right,Somewhat,Less,Economic opportunities / Still have a job / Saving money,No,Very,No,Republican Donald Trump,(High school graduate_GED_High school equivalency),Moderate, , ,Lean conservative,Neither, , ,Lean Republican,"No, no home telephone", , ,No,White,Yes,Suburban,"$100,000 or more",NC,Male,46-54,49,"Republican,",CONSRV (very + somewhat conservative),yes,South,Trump 10%+,Lean Conservative,Somewhat Conservative,Lean Republican,Lean Republican,1.255194998,Cell
563,NY,Yes (All),1991,Strongly disapprove,Disapprove,Very,Very,Somewhat disapprove,Strongly disapprove,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","Yes, describes","No, does not describe","No, does not describe",Very,Very,Very,Very,Very,Favor,Favor,Too little,A great deal,More,Learn valuable lessons / Chance for reflection,Yes,Very,No,(Someone else),(4-year degree_traditional college degree),Moderate, , ,Lean liberal,Democrat,Not so strong, , ,"No, no home telephone", , ,No,White,No,Suburban,"$50,000 to under $75,000",NY,Male,18-29,29,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,Northeast,Close,Lean Liberal,Somewhat Liberal,Somewhat Democrat,Lean Democarat,1.41416228,Cell
572,AL,Yes (All),1972,Strongly approve,Disapprove,Very,Not very,Somewhat approve,Strongly approve,Somewhat approve,Strongly approve,(Dont know),Strongly approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Very,Very,Very,Very,Oppose,Favor,Too little,A great deal,Less,No silver lining,No,Very,Yes,Republican Donald Trump,(4-year degree_traditional college degree),Moderate, , ,Dont lean either way,Republican, ,Strong, ,"No, no home telephone", , ,No,(Other):,Yes,Rural,"$50,000 to under $75,000",AL,Female,46-54,48,"Republican,","MODERATE,",no,South,Trump 10%+,Moderate,Moderate,Strong Republican,Strong Republican,.215299697,Cell
578,OH,Yes (All),1969,Strongly approve,Approve,Somewhat,Somewhat,Somewhat approve,Somewhat approve,(Dont know),Strongly approve,Strongly approve,Somewhat approve,(Dont know),Worst is yet to come,Reacting appropriately,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Not very,Somewhat,Somewhat,Somewhat,Favor,Favor,Just about right,Not at all,Less,Not sure / Refused,No,Somewhat,No,Republican Donald Trump,(4-year degree_traditional college degree),Conservative, ,Somewhat conservative, ,Neither, , ,Lean Republican,"No, no home telephone", , ,No,White,No,Suburban,"$30,000 to under $50,000",OH,Female,46-54,51,"Republican,",CONSRV (very + somewhat conservative),no,Midwest,Close,Somewhat Conservative,Somewhat Conservative,Lean Republican,Lean Republican,1.176935894,Cell
581,OR,Yes (All),1978,Strongly disapprove,Disapprove,Very,Not very,Somewhat approve,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat disapprove,Somewhat approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Not at all,Somewhat,Not very,Not at all,Favor,Oppose,Just about right,A great deal,Less,Spending more time with family,Yes,Not very,No,Democrat Hillary Clinton,(Graduate degree),Moderate, , ,Dont lean either way,Neither, , ,Lean Democratic,"No, no home telephone", , ,No,White,No,Suburban,"$100,000 or more",OR,Female,30-45,42,Democrat,"MODERATE,",no,West,Close,Moderate,Moderate,Lean Democrat,Lean Democarat,.988428601,Cell
589,FL,Yes (All),1962,Strongly disapprove,Disapprove,Very,Very,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,(Dont know),Strongly disapprove,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Not at all,Somewhat,Very,Favor,Favor,Too little,A great deal,Less,Will be stronger in the future / Pandemic will be contained,Yes,Very,Yes,Democrat Hillary Clinton,(4-year degree_traditional college degree),Liberal,Somewhat liberal, , ,Democrat,Strong, , ,"No, no home telephone", , ,No,White,Yes,Suburban,"$75,000 to under $100,000",FL,Female,55-64,58,Democrat,"LIBERAL (very liberal + somewhat liberal),",yes,South,Clinton 10%+,Somewhat Liberal,Somewhat Liberal,Strong Democrat,Strong Democarat,.80052247,Cell
591,MO,Yes (All),1989,Strongly disapprove,Approve,Very,Somewhat,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Strongly approve,Strongly approve,Somewhat disapprove,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Somewhat,Somewhat,Very,Favor,Favor,Too little,Somewhat,Less,No silver lining,No,Very,Yes,(Someone else),(2-year degree_community college degree),Moderate, , ,Lean liberal,Neither, , ,Lean Democratic,"No, no home telephone", , ,No,White,No,Suburban,"Under $30,000",MO,Male,30-45,31,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,Midwest,Clinton 10%+,Lean Liberal,Somewhat Liberal,Lean Democrat,Lean Democarat,1.031483153,Cell
596,IN,Yes (All),1958,Strongly approve,Disapprove,Somewhat,Somewhat,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Strongly approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Somewhat,Somewhat,Not at all,Not at all,Oppose,Favor,Just about right,Not much,No difference,Preparation for the future / Better prepared for future outbreaks,No,Somewhat,Yes,Republican Donald Trump,(High school graduate_GED_High school equivalency),Conservative, ,Very conservative, ,Neither, , ,Lean Republican,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,(Refused),No,Suburban,"$100,000 or more",IN,Male,55-64,62,"Republican,",CONSRV (very + somewhat conservative),no,Midwest,Clinton 10%+,Very Conservative,Very Conservative,Lean Republican,Lean Republican,.232105074,Cell
599,CA,Yes (All),1991,Somewhat disapprove,Disapprove,Somewhat,Not very,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat approve,(Dont know),Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","Yes, describes","No, does not describe",Somewhat,Very,Somewhat,Very,Very,Favor,Favor,Too little,A great deal,More,Bringing people together / Sense of community,No,Somewhat,Yes,(Someone else),(2-year degree_community college degree),Liberal,Somewhat liberal, , ,Neither, , ,Dont lean either way,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,"African-American, black",No,Urban,"Under $30,000",CA,Female,18-29,29,Independent + other,"LIBERAL (very liberal + somewhat liberal),",no,West,Clinton 10%+,Somewhat Liberal,Somewhat Liberal,Independent,Independent,1.327288301,Cell
601,CA,Yes (All),1995,Strongly disapprove,Approve,Very,Very,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat disapprove,Strongly approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Very,Very,Favor,Favor,Too little,A great deal,No difference,Spending more time with family,No,Very,Yes,Or did things come up to keep you from voting?,(4-year degree_traditional college degree),Conservative, ,Very conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,Yes,White,Yes,Urban,"$100,000 or more",CA,Female,18-29,25,"Republican,",CONSRV (very + somewhat conservative),no,West,Clinton 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.977715459,Cell
602,AL,Yes (All),1963,Strongly disapprove,(Dont know),Very,Very,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat disapprove,Strongly approve,Wrong direction,Worst is yet to come,(Dont know),Federal government could have slowed the spread of the virus,(Dont know),"No, does not describe",(Dont know),"No, does not describe",Somewhat,Somewhat,Very,Somewhat,Not very,Favor,Favor,Too little,A great deal,Less,Bringing people together / Sense of community,No,Very,Yes,Democrat Hillary Clinton,(High school graduate_GED_High school equivalency),Moderate, , ,Lean conservative,Democrat,Not so strong, , ,"No, no home telephone", , ,No,"African-American, black",Yes,Urban,"Under $30,000",AL,Male,55-64,57,Democrat,CONSRV (very + somewhat conservative),no,South,Trump 10%+,Lean Conservative,Somewhat Conservative,Somewhat Democrat,Lean Democarat,1.244472736,Cell
604,LA,Yes (All),1991,Strongly approve,Approve,Very,Somewhat,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Somewhat approve,Somewhat approve,Right direction,Worst is over,Reacting appropriately,Federal government could have slowed the spread of the virus,"No, does not describe","Yes, describes","Yes, describes","Yes, describes",Very,Somewhat,Somewhat,Somewhat,Somewhat,Favor,Oppose,Just about right,A great deal,Less,Not sure / Refused,Yes,Very,No,Republican Donald Trump,(4-year degree_traditional college degree),Conservative, ,Very conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,No,White,Yes,Rural,"$50,000 to under $75,000",LA,Female,18-29,29,"Republican,",CONSRV (very + somewhat conservative),yes,South,Trump 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,1.492094415,Cell
605,CA,Yes (All),1999,Strongly disapprove,Disapprove,Very,Somewhat,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Somewhat,Very,Very,Favor,Favor,Too little,Somewhat,No difference,Bringing people together / Sense of community,Yes,Very,Yes,(Someone else),"(Some college, no degree)",Liberal,Very liberal, , ,Democrat,Strong, , ,"No, no home telephone", , ,Yes,"Latino, Hispanic",No,Urban,"Under $30,000",CA,Female,18-29,21,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,West,Clinton 10%+,Very Liberal,Very Liberal,Strong Democrat,Strong Democarat,1.112117702,Cell
606,TX,Yes (All),2002,Strongly disapprove,(Dont know),Somewhat,Somewhat,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Somewhat approve,(Dont know),Somewhat approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Favor,Favor,(Dont know),A great deal,(Mixed),Bringing people together / Sense of community,No,Very,Yes,Democrat Hillary Clinton,(High school graduate_GED_High school equivalency),Moderate, , ,Lean conservative,Democrat,Not so strong, , ,"No, no home telephone", , ,No,Asian,Yes,Small town,"$30,000 to under $50,000",TX,Male,18-29,18,Democrat,CONSRV (very + somewhat conservative),no,South,Clinton 10%+,Lean Conservative,Somewhat Conservative,Somewhat Democrat,Lean Democarat,1.252630558,Cell
609,CT,Yes (All),1956,Strongly approve,Disapprove,Not very,Not very,Somewhat disapprove,Strongly approve,Strongly approve,Somewhat approve,Somewhat approve,Strongly disapprove,Wrong direction,Worst is over,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Not very,Not at all,Not at all,Not at all,Oppose,Oppose,Too much,Not at all,Less,Will help Trump s reelection / Trump positive,Yes,Not at all,Yes,Republican Donald Trump,(Graduate degree),Conservative, ,Very conservative, ,Republican, ,Strong, ,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,White,No,Suburban,"$100,000 or more",CT,Male,55-64,64,"Republican,",CONSRV (very + somewhat conservative),no,Northeast,Clinton 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.767070362,Cell
610,TN,Yes (All),1952,Strongly approve,Disapprove,Very,Somewhat,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Very,Not very,Somewhat,Somewhat,Favor,Favor,(Dont know),A great deal,More,Bringing people together / Sense of community,No,Very,Yes,Republican Donald Trump,(2-year degree_community college degree),Conservative, ,Very conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,No,White,Yes,Rural,"$75,000 to under $100,000",TN,Male,65+,68,"Republican,",CONSRV (very + somewhat conservative),yes,South,Trump 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.760416033,Cell
611,OK,Yes (All),2000,Strongly disapprove,Disapprove,Very,Somewhat,Strongly approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes","Yes, describes","No, does not describe",Very,Very,Very,Somewhat,Very,Favor,Favor,Just about right,A great deal,No difference,No silver lining,No,Very,Yes,Or did things come up to keep you from voting?,(High school graduate_GED_High school equivalency),Liberal,Somewhat liberal, , ,Republican, ,Not so strong, ,"No, no home telephone", , ,Yes,"Latino, Hispanic",No,Urban,"Under $30,000",OK,Male,18-29,20,"Republican,","LIBERAL (very liberal + somewhat liberal),",no,South,Trump 10%+,Somewhat Liberal,Somewhat Liberal,Somewhat Republican,Lean Republican,1.042727612,Cell
